,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
169,SR19-01115978,03/06/19 01:57 PM,1151 W 79TH ST<br>  60620,Completed,,1151 W 79TH ST,60620,   ,Chicago,Illinois
170,SR19-01116052,03/06/19 02:11 PM,7617 S EBERHART AVE<br>  60619,Completed,Processed for Hearing - Standard,7617 S EBERHART AVE,60619,   ,Chicago,Illinois
171,SR19-01116367,03/06/19 02:52 PM,6437 S LANGLEY AVE<br>  60637,Completed,No Entry,6437 S LANGLEY AVE,60637,   ,Chicago,Illinois
172,SR19-01116404,03/06/19 02:57 PM,4318 W cermak RD<br>  60623,Completed,No Entry,4318 W cermak RD,60623,   ,Chicago,Illinois
173,SR19-01117152,03/06/19 04:49 PM,7948 S GREENWOOD AVE<br>  60619,Completed,Active Case,7948 S GREENWOOD AVE,60619,   ,Chicago,Illinois
174,SR19-01117555,03/06/19 06:22 PM,1600 W CHASE AVE<br>  60626,Completed,No Entry,1600 W CHASE AVE,60626,   ,Chicago,Illinois
175,SR19-01117832,03/06/19 07:55 PM,3455 W JACKSON BLVD<br>  60624,Completed,No Entry,3455 W JACKSON BLVD,60624,   ,Chicago,Illinois
176,SR19-01117874,03/06/19 08:11 PM,4007 W WELLINGTON AVE<br>  60641,Completed,Active Case,4007 W WELLINGTON AVE,60641,   ,Chicago,Illinois
177,SR19-01117915,03/06/19 08:25 PM,7024 S PEORIA ST<br>  60621,Completed,Adequate Temperature,7024 S PEORIA ST,60621,   ,Chicago,Illinois
178,SR19-01118209,03/06/19 09:58 PM,432 E 111TH PL<br>  60628,Completed,Adequate Temperature,432 E 111TH PL,60628,   ,Chicago,Illinois
179,SR19-01118540,03/07/19 01:24 AM,148 N LONG AVE<br>  60644,Completed,No Entry,148 N LONG AVE,60644,   ,Chicago,Illinois
180,SR19-01118648,03/07/19 04:32 AM,38 N CENTRAL AVE<br>  60644,Completed,No Entry,38 N CENTRAL AVE,60644,   ,Chicago,Illinois
181,SR19-01118689,03/07/19 05:29 AM,7028 S PAXTON AVE<br>  60649,Completed,,7028 S PAXTON AVE,60649,   ,Chicago,Illinois
182,SR19-01119163,03/07/19 08:10 AM,2134 N CLEVELAND AVE<br>  60614,Completed,Active Case,2134 N CLEVELAND AVE,60614,   ,Chicago,Illinois
183,SR19-01119239,03/07/19 08:28 AM,110 N KOSTNER AVE<br>  60624,Completed,Processed for Hearing - Standard,110 N KOSTNER AVE,60624,   ,Chicago,Illinois
184,SR19-01119518,03/07/19 09:06 AM,4007 W WELLINGTON AVE<br>  60641,Completed,Processed for Hearing - Standard,4007 W WELLINGTON AVE,60641,   ,Chicago,Illinois
185,SR19-01119757,03/07/19 09:37 AM,343 S DEARBORN ST<br>  60604,Completed,Active Case,343 S DEARBORN ST,60604,   ,Chicago,Illinois
186,SR19-01119821,03/07/19 09:46 AM,2139 W Concord PL<br>  60647,Completed,No Entry,2139 W Concord PL,60647,   ,Chicago,Illinois
187,SR19-01119891,03/07/19 09:56 AM,6636 S INGLESIDE AVE<br>  60637,Completed,No Entry,6636 S INGLESIDE AVE,60637,   ,Chicago,Illinois
188,SR19-01119901,03/07/19 09:57 AM,1316 S TRIPP AVE<br>  60623,Completed,Processed for Court,1316 S TRIPP AVE,60623,   ,Chicago,Illinois
189,SR19-01119907,03/07/19 09:57 AM,1316 S TRIPP AVE<br>  60623,Completed,Active Case,1316 S TRIPP AVE,60623,   ,Chicago,Illinois
190,SR19-01119947,03/07/19 10:02 AM,1450 E 55TH PL<br>  60615,Completed,Active Case,1450 E 55TH PL,60615,   ,Chicago,Illinois
191,SR19-01119959,03/07/19 10:03 AM,1053 W GRANVILLE AVE<br>  60660,Completed,Transfer to Ventilation Violation,1053 W GRANVILLE AVE,60660,   ,Chicago,Illinois
192,SR19-01119959,03/07/19 10:03 AM,1053 W GRANVILLE AVE<br>  60660,Completed,No Cause,1053 W GRANVILLE AVE,60660,   ,Chicago,Illinois
193,SR19-01119992,03/07/19 10:06 AM,2139 W CONCORD PL<br>  60647,Completed,No Entry,2139 W CONCORD PL,60647,   ,Chicago,Illinois
194,SR19-01121238,03/07/19 12:37 PM,419 E 75TH ST<br>  60619,Completed,,419 E 75TH ST,60619,   ,Chicago,Illinois
195,SR19-01121886,03/07/19 02:05 PM,3845 W ALTGELD ST<br>  60647,Completed,No Entry,3845 W ALTGELD ST,60647,   ,Chicago,Illinois
196,SR19-01122316,03/07/19 03:11 PM,1433 W FLOURNOY ST<br>  60607,Completed,Adequate Temperature,1433 W FLOURNOY ST,60607,   ,Chicago,Illinois
197,SR19-01123061,03/07/19 04:53 PM,1145 W MORSE AVE<br>  60626,Completed,No Entry,1145 W MORSE AVE,60626,   ,Chicago,Illinois
198,SR19-01123288,03/07/19 05:32 PM,3127 N HARDING AVE<br>  60618,Completed,No Entry,3127 N HARDING AVE,60618,   ,Chicago,Illinois
199,SR19-01123358,03/07/19 05:47 PM,1507 N AVERS AVE<br>  60651,Completed,PROCESSED VIOLATION NOTICE,1507 N AVERS AVE,60651,   ,Chicago,Illinois
200,SR19-01124343,03/08/19 12:42 AM,7911 S RACINE AVE<br>  60620,Completed,Processed for Hearing - Standard,7911 S RACINE AVE,60620,   ,Chicago,Illinois
201,SR19-01124417,03/08/19 02:22 AM,2111 W Lexington ST<br>  60612,Completed,Adequate Temperature,2111 W Lexington ST,60612,   ,Chicago,Illinois
202,SR19-01124697,03/08/19 07:08 AM,1407 S michigan AVE<br>  60605,Completed,No Entry,1407 S michigan AVE,60605,   ,Chicago,Illinois
203,SR19-01124826,03/08/19 07:48 AM,7932 S KINGSTON AVE<br>  60617,Completed,Processed for Hearing - Standard,7932 S KINGSTON AVE,60617,   ,Chicago,Illinois
204,SR19-01124836,03/08/19 07:50 AM,6147 S CHAMPLAIN AVE<br>  60637,Completed,Processed for Court,6147 S CHAMPLAIN AVE,60637,   ,Chicago,Illinois
205,SR19-01125804,03/08/19 10:08 AM,2137 W CONCORD PL<br>  60647,Completed,No Entry,2137 W CONCORD PL,60647,   ,Chicago,Illinois
206,SR19-01125833,03/08/19 10:11 AM,2117 W ARTHUR AVE<br>  60645,Completed,No Entry,2117 W ARTHUR AVE,60645,   ,Chicago,Illinois
207,SR19-01126095,03/08/19 10:38 AM,6352 S ALBANY AVE<br>  60629,Completed,No Entry,6352 S ALBANY AVE,60629,   ,Chicago,Illinois
208,SR19-01126157,03/08/19 10:46 AM,3440 S NORMAL AVE<br>  60616,Completed,No Entry,3440 S NORMAL AVE,60616,   ,Chicago,Illinois
209,SR19-01126587,03/08/19 11:36 AM,7652 S COLFAX AVE<br>  60649,Completed,Processed for Hearing - Standard,7652 S COLFAX AVE,60649,   ,Chicago,Illinois
210,SR19-01126886,03/08/19 12:17 PM,6626 S WABASH AVE<br>  60637,Completed,PROCESSED VIOLATION NOTICE,6626 S WABASH AVE,60637,   ,Chicago,Illinois
211,SR19-01126915,03/08/19 12:21 PM,2157 N MASON AVE<br>  60639,Completed,No Entry,2157 N MASON AVE,60639,   ,Chicago,Illinois
212,SR19-01127046,03/08/19 12:42 PM,6352 S ALBANY AVE<br>  60629,Completed,,6352 S ALBANY AVE,60629,   ,Chicago,Illinois
213,SR19-01127105,03/08/19 12:50 PM,12023 S STEWART AVE<br>  60628,Completed,Processed for Court,12023 S STEWART AVE,60628,   ,Chicago,Illinois
214,SR19-01127158,03/08/19 12:59 PM,5040 N KIMBALL AVE<br>  60625,Completed,No Entry,5040 N KIMBALL AVE,60625,   ,Chicago,Illinois
215,SR19-01127702,03/08/19 02:18 PM,6600 S ARTESIAN AVE<br>  60629,Completed,No Entry,6600 S ARTESIAN AVE,60629,   ,Chicago,Illinois
216,SR19-01128771,03/08/19 05:32 PM,1646 N ARTESIAN AVE<br>  60647,Completed,No Entry,1646 N ARTESIAN AVE,60647,   ,Chicago,Illinois
217,SR19-01129262,03/08/19 08:10 PM,6382 N HERMITAGE AVE<br>  60660,Completed,Adequate Temperature,6382 N HERMITAGE AVE,60660,   ,Chicago,Illinois
218,SR19-01129783,03/09/19 01:36 AM,5957 S elizabeth ST<br>  60636,Completed,Processed for Hearing - Standard,5957 S elizabeth ST,60636,   ,Chicago,Illinois
219,SR19-01131401,03/09/19 03:32 PM,8041 S DREXEL AVE<br>  60619,Completed,Adequate Temperature,8041 S DREXEL AVE,60619,   ,Chicago,Illinois
220,SR19-01131708,03/09/19 04:44 PM,5224 S PEORIA ST<br>  60609,Completed,No Entry,5224 S PEORIA ST,60609,   ,Chicago,Illinois
221,SR19-01133236,03/10/19 08:07 AM,5618 S LAFLIN ST<br>  60636,Completed,No Entry,5618 S LAFLIN ST,60636,   ,Chicago,Illinois
222,SR19-01133327,03/10/19 08:51 AM,5803 W ERIE ST<br>  60644,Completed,No Entry,5803 W ERIE ST,60644,   ,Chicago,Illinois
223,SR19-01133485,03/10/19 09:38 AM,6639 S ELLIS AVE<br>  60637,Completed,No Entry,6639 S ELLIS AVE,60637,   ,Chicago,Illinois
224,SR19-01133979,03/10/19 12:28 PM,2208 W AINSLIE ST<br>  60625,Completed,Adequate Temperature,2208 W AINSLIE ST,60625,   ,Chicago,Illinois
225,SR19-01134516,03/10/19 04:06 PM,2715 N CICERO AVE<br>  60639,Completed,Adequate Temperature,2715 N CICERO AVE,60639,   ,Chicago,Illinois
226,SR19-01135032,03/10/19 07:09 PM,1067 W GLENLAKE AVE<br>  60660,Completed,No Entry,1067 W GLENLAKE AVE,60660,   ,Chicago,Illinois
227,SR19-01135591,03/10/19 10:46 PM,7822 S PHILLIPS AVE<br>  60649,Completed,No Entry,7822 S PHILLIPS AVE,60649,   ,Chicago,Illinois
228,SR19-01135717,03/11/19 12:00 AM,727 E 60TH ST<br>  60637,Completed,Active Case,727 E 60TH ST,60637,   ,Chicago,Illinois
229,SR19-01136097,03/11/19 06:43 AM,4344 S ELLIS AVE<br>  60653,Completed,Processed for Hearing - Standard,4344 S ELLIS AVE,60653,   ,Chicago,Illinois
230,SR19-01136169,03/11/19 07:19 AM,3603 N ASHLAND AVE<br>  60613,Completed,Active Case,3603 N ASHLAND AVE,60613,   ,Chicago,Illinois
231,SR19-01136799,03/11/19 09:04 AM,10602 S L AVE<br>  60617,Completed,No Cause,10602 S L AVE,60617,   ,Chicago,Illinois
232,SR19-01137423,03/11/19 10:19 AM,9351 S laflin ST<br>  60620,Completed,No Entry,9351 S laflin ST,60620,   ,Chicago,Illinois
233,SR19-01139195,03/11/19 02:09 PM,2930 N SACRAMENTO AVE<br>  60618,Completed,No Entry,2930 N SACRAMENTO AVE,60618,   ,Chicago,Illinois
234,SR19-01140115,03/11/19 04:01 PM,11431 S DR MARTIN LUTHER KING JR DR<br>  60628,Completed,PROCESSED VIOLATION NOTICE,11431 S DR MARTIN LUTHER KING JR DR,60628,   ,Chicago,Illinois
235,SR19-01140218,03/11/19 04:15 PM,1600 W CHASE AVE<br>  60626,Completed,PROCESSED VIOLATION NOTICE,1600 W CHASE AVE,60626,   ,Chicago,Illinois
236,SR19-01141672,03/11/19 11:01 PM,3134 N KOLMAR AVE<br>  60641,Completed,No Entry,3134 N KOLMAR AVE,60641,   ,Chicago,Illinois
237,SR19-01141947,03/12/19 02:26 AM,1707 W 56TH ST<br>  60636,Completed,NO SUCH ADDRESS,1707 W 56TH ST,60636,   ,Chicago,Illinois
238,SR19-01144162,03/12/19 10:58 AM,1145 W MORSE AVE<br>  60626,Completed,No Entry,1145 W MORSE AVE,60626,   ,Chicago,Illinois
239,SR19-01146174,03/12/19 02:59 PM,5624 S PEORIA ST<br>  60621,Completed,NO SUCH ADDRESS,5624 S PEORIA ST,60621,   ,Chicago,Illinois
240,SR19-01147159,03/12/19 05:04 PM,1164 N DEARBORN ST<br>  60610,Completed,Active Case,1164 N DEARBORN ST,60610,   ,Chicago,Illinois
241,SR19-01148568,03/12/19 10:53 PM,4158 N MENARD AVE<br>  60634,Completed,No Entry,4158 N MENARD AVE,60634,   ,Chicago,Illinois
242,SR19-01148917,03/13/19 03:35 AM,7957 S ELLIS AVE<br>  60619,Completed,Active Case,7957 S ELLIS AVE,60619,   ,Chicago,Illinois
243,SR19-01149025,03/13/19 06:12 AM,6507 S ELLIS AVE<br>  60637,Completed,No Entry,6507 S ELLIS AVE,60637,   ,Chicago,Illinois
244,SR19-01150046,03/13/19 09:58 AM,1145 W MORSE AVE<br>  60626,Completed,,1145 W MORSE AVE,60626,   ,Chicago,Illinois
245,SR19-01151502,03/13/19 12:27 PM,4045 N LAPORTE AVE<br>  60641,Completed,No Entry,4045 N LAPORTE AVE,60641,   ,Chicago,Illinois
246,SR19-01153294,03/13/19 03:54 PM,6818 S DORCHESTER AVE<br>  60637,Completed,No Cause,6818 S DORCHESTER AVE,60637,   ,Chicago,Illinois
247,SR19-01158273,03/14/19 11:06 AM,3543 S ARCHER AVE<br>  60609,Completed,Processed for Hearing - Standard,3543 S ARCHER AVE,60609,   ,Chicago,Illinois
248,SR19-01159173,03/14/19 12:29 PM,1528 W MORSE AVE<br>  60626,Completed,No Cause - Phone Call,1528 W MORSE AVE,60626,   ,Chicago,Illinois
249,SR19-01163506,03/15/19 02:28 AM,3950 W 68TH ST<br>  60629,Completed,NO SUCH ADDRESS,3950 W 68TH ST,60629,   ,Chicago,Illinois
250,SR19-01164038,03/15/19 07:51 AM,4153 N PULASKI RD<br>  60641,Completed,Adequate Temperature,4153 N PULASKI RD,60641,   ,Chicago,Illinois
251,SR19-01164773,03/15/19 09:44 AM,3950 W 60TH ST<br>  60629,Completed,PROCESSED VIOLATION NOTICE,3950 W 60TH ST,60629,   ,Chicago,Illinois
252,SR19-01164949,03/15/19 10:07 AM,1528 W MORSE AVE<br>  60626,Completed,,1528 W MORSE AVE,60626,   ,Chicago,Illinois
253,SR19-01165771,03/15/19 11:41 AM,1525 W MORSE AVE<br>  60626,Completed,No Entry,1525 W MORSE AVE,60626,   ,Chicago,Illinois
254,SR19-01167434,03/15/19 03:35 PM,4168 W 24TH PL<br>  60623,Completed,No Entry,4168 W 24TH PL,60623,   ,Chicago,Illinois
255,SR19-01168150,03/15/19 05:34 PM,3032 W 54TH PL<br>  60632,Completed,No Entry,3032 W 54TH PL,60632,   ,Chicago,Illinois
256,SR19-01168390,03/15/19 06:42 PM,230 E ONTARIO ST<br>  60611,Completed,Active Case,230 E ONTARIO ST,60611,   ,Chicago,Illinois
257,SR19-01168597,03/15/19 08:05 PM,230 E ONTARIO ST<br>  60611,Completed,Adequate Temperature,230 E ONTARIO ST,60611,   ,Chicago,Illinois
258,SR19-01169239,03/16/19 01:41 AM,2360 W 50TH ST<br>  60609,Completed,NO SUCH ADDRESS,2360 W 50TH ST,60609,   ,Chicago,Illinois
259,SR19-01169249,03/16/19 01:47 AM,1705 S LOOMIS ST<br>  60608,Completed,NO SUCH ADDRESS,1705 S LOOMIS ST,60608,   ,Chicago,Illinois
260,SR19-01169360,03/16/19 04:06 AM,7957 S ellis ST<br>  60619,Completed,No Entry,7957 S ellis ST,60619,   ,Chicago,Illinois
261,SR19-01170045,03/16/19 10:17 AM,5646 N GLENWOOD AVE<br>  60660,Completed,No Entry,5646 N GLENWOOD AVE,60660,   ,Chicago,Illinois
262,SR19-01170140,03/16/19 10:45 AM,9006 S ESCANABA AVE<br>  60617,Completed,Processed for Hearing - Standard,9006 S ESCANABA AVE,60617,   ,Chicago,Illinois
263,SR19-01170755,03/16/19 02:00 PM,1615 W 78TH ST<br>  60620,Completed,Processed for Court,1615 W 78TH ST,60620,   ,Chicago,Illinois
264,SR19-01170888,03/16/19 02:31 PM,3318 N LAKE SHORE DR<br>  60657,Completed,PROCESSED VIOLATION NOTICE,3318 N LAKE SHORE DR,60657,   ,Chicago,Illinois
265,SR19-01170937,03/16/19 02:40 PM,554 E PERSHING RD<br>  60653,Completed,No Entry,554 E PERSHING RD,60653,   ,Chicago,Illinois
266,SR19-01171857,03/16/19 06:57 PM,8143 S EVANS AVE<br>  60619,Completed,Processed for Hearing - Standard,8143 S EVANS AVE,60619,   ,Chicago,Illinois
267,SR19-01171874,03/16/19 07:06 PM,3704 N HARLEM AVE<br>  60634,Completed,Active Case,3704 N HARLEM AVE,60634,   ,Chicago,Illinois
268,SR19-01172641,03/17/19 01:42 AM,6957 S EGGLESTON AVE<br>  60621,Completed,PROCESSED VIOLATION NOTICE,6957 S EGGLESTON AVE,60621,   ,Chicago,Illinois
269,SR19-01172714,03/17/19 04:14 AM,4835 W BELLE PLAINE AVE<br>  60641,Completed,No Entry,4835 W BELLE PLAINE AVE,60641,   ,Chicago,Illinois
270,SR19-01172767,03/17/19 05:26 AM,9100 S DAUPHIN AVE<br>  60619,Completed,Adequate Temperature,9100 S DAUPHIN AVE,60619,   ,Chicago,Illinois
271,SR19-01172778,03/17/19 05:52 AM,9102 S DAUPHIN AVE<br>  60619,Completed,Adequate Temperature,9102 S DAUPHIN AVE,60619,   ,Chicago,Illinois
272,SR19-01172976,03/17/19 08:19 AM,4831 W BELLE PLAINE AVE<br>  60641,Completed,No Entry,4831 W BELLE PLAINE AVE,60641,   ,Chicago,Illinois
273,SR19-01173152,03/17/19 09:20 AM,6119 N PULASKI RD<br>  60646,Completed,Adequate Temperature,6119 N PULASKI RD,60646,   ,Chicago,Illinois
274,SR19-01173174,03/17/19 09:27 AM,5646 N GLENWOOD AVE<br>  60660,Completed,PROCESSED VIOLATION NOTICE,5646 N GLENWOOD AVE,60660,   ,Chicago,Illinois
275,SR19-01173329,03/17/19 10:12 AM,5218 S LOCKWOOD AVE<br>  60638,Completed,No Cause - Phone Call,5218 S LOCKWOOD AVE,60638,   ,Chicago,Illinois
276,SR19-01173455,03/17/19 10:55 AM,6957 S EGGLESTON AVE<br>  60621,Completed,,6957 S EGGLESTON AVE,60621,   ,Chicago,Illinois
277,SR19-01173977,03/17/19 01:15 PM,7827 S MARYLAND AVE<br>  60619,Completed,No Cause - Phone Call,7827 S MARYLAND AVE,60619,   ,Chicago,Illinois
278,SR19-01174063,03/17/19 01:37 PM,823 E 49TH ST<br>  60615,Completed,Processed for Hearing - Standard,823 E 49TH ST,60615,   ,Chicago,Illinois
279,SR19-01175126,03/17/19 06:48 PM,711 S ADA ST<br>  60607,Completed,No Entry,711 S ADA ST,60607,   ,Chicago,Illinois
280,SR19-01175212,03/17/19 07:19 PM,4918 S VINCENNES AVE<br>  60615,Completed,No Entry,4918 S VINCENNES AVE,60615,   ,Chicago,Illinois
281,SR19-01175944,03/17/19 11:41 PM,2120 W 35TH ST<br>  60609,Completed,Processed for Hearing - Standard,2120 W 35TH ST,60609,   ,Chicago,Illinois
282,SR19-01177052,03/18/19 08:59 AM,723 1/2 W Barry AVE<br>  60657,Completed,No Entry,723 1/2 W Barry AVE,60657,   ,Chicago,Illinois
283,SR19-01177428,03/18/19 09:40 AM,7321 S STEWART AVE<br>  60621,Completed,Processed for Court,7321 S STEWART AVE,60621,   ,Chicago,Illinois
284,SR19-01177729,03/18/19 10:08 AM,6810 S DORCHESTER AVE<br>  60637,Completed,No Entry,6810 S DORCHESTER AVE,60637,   ,Chicago,Illinois
285,SR19-01178275,03/18/19 10:56 AM,3332 N OCTAVIA AVE<br>  60634,Completed,No Entry,3332 N OCTAVIA AVE,60634,   ,Chicago,Illinois
286,SR19-01178467,03/18/19 11:13 AM,5146 W CORNELIA AVE<br>  60641,Completed,No Entry,5146 W CORNELIA AVE,60641,   ,Chicago,Illinois
287,SR19-01178478,03/18/19 11:14 AM,4407 N HAMLIN AVE<br>  60625,Completed,PROCESSED VIOLATION NOTICE,4407 N HAMLIN AVE,60625,   ,Chicago,Illinois
288,SR19-01180908,03/18/19 03:55 PM,5863 N KENMORE AVE<br>  60660,Completed,No Entry,5863 N KENMORE AVE,60660,   ,Chicago,Illinois
289,SR19-01180925,03/18/19 03:57 PM,6710 S NORMAL BLVD<br>  60621,Completed,Processed for Court,6710 S NORMAL BLVD,60621,   ,Chicago,Illinois
290,SR19-01181289,03/18/19 04:49 PM,3436 W MONTROSE AVE<br>  60618,Completed,Processed for Hearing - Standard,3436 W MONTROSE AVE,60618,   ,Chicago,Illinois
291,SR19-01181496,03/18/19 05:28 PM,8125 S ELLIS AVE<br>  60619,Completed,No Entry,8125 S ELLIS AVE,60619,   ,Chicago,Illinois
292,SR19-01182262,03/18/19 08:36 PM,3704 N HARLEM AVE<br>  60634,Completed,Active Case,3704 N HARLEM AVE,60634,   ,Chicago,Illinois
293,SR19-01182353,03/18/19 09:02 PM,1452 W highland AVE<br>  60660,Completed,No Entry,1452 W highland AVE,60660,   ,Chicago,Illinois
294,SR19-01185059,03/19/19 10:48 AM,230 E ONTARIO ST<br>  60611,Completed,Active Case,230 E ONTARIO ST,60611,   ,Chicago,Illinois
295,SR19-01185473,03/19/19 11:21 AM,4407 N HAMLIN AVE<br>  60625,Completed,,4407 N HAMLIN AVE,60625,   ,Chicago,Illinois
296,SR19-01187133,03/19/19 02:25 PM,5241 W LAKE ST<br>  60644,Completed,No Entry,5241 W LAKE ST,60644,   ,Chicago,Illinois
297,SR19-01190447,03/20/19 09:09 AM,430 W ERIE ST<br>  60654,Completed,Adequate Temperature,430 W ERIE ST,60654,   ,Chicago,Illinois
298,SR19-01190476,03/20/19 09:13 AM,2346 N KIMBALL AVE<br>  60647,Completed,No Entry,2346 N KIMBALL AVE,60647,   ,Chicago,Illinois
299,SR19-01193765,03/20/19 02:52 PM,3518 W FLOURNOY ST<br>  60624,Completed,Processed for Hearing - Standard,3518 W FLOURNOY ST,60624,   ,Chicago,Illinois
300,SR19-01195570,03/20/19 09:06 PM,852 E 81ST ST<br>  60619,Completed,No Entry,852 E 81ST ST,60619,   ,Chicago,Illinois
301,SR19-01196245,03/21/19 06:12 AM,1108 E 82ND ST<br>  60619,Completed,No Entry,1108 E 82ND ST,60619,   ,Chicago,Illinois
302,SR19-01196436,03/21/19 07:33 AM,7600 S STEWART AVE<br>  60620,Completed,Adequate Temperature,7600 S STEWART AVE,60620,   ,Chicago,Illinois
303,SR19-01197484,03/21/19 10:01 AM,2756 N PINE GROVE AVE<br>  60614,Completed,Adequate Temperature,2756 N PINE GROVE AVE,60614,   ,Chicago,Illinois
304,SR19-01198754,03/21/19 11:56 AM,5943 S PEORIA ST<br>  60621,Completed,No Entry,5943 S PEORIA ST,60621,   ,Chicago,Illinois
305,SR19-01199021,03/21/19 12:30 PM,3501 N ALBANY AVE<br>  60618,Completed,Adequate Temperature,3501 N ALBANY AVE,60618,   ,Chicago,Illinois
306,SR19-01200261,03/21/19 02:32 PM,1440 W NORTH SHORE AVE<br>  60626,Completed,No Entry,1440 W NORTH SHORE AVE,60626,   ,Chicago,Illinois
307,SR19-01200689,03/21/19 03:43 PM,9351 S RACINE AVE<br>  60620,Completed,No Entry,9351 S RACINE AVE,60620,   ,Chicago,Illinois
308,SR19-01201834,03/21/19 09:03 PM,5046 N TROY ST<br>  60625,Completed,No Entry,5046 N TROY ST,60625,   ,Chicago,Illinois
309,SR19-01202323,03/22/19 03:21 AM,5045 N NOTTINGHAM AVE<br>  60656,Completed,No Entry,5045 N NOTTINGHAM AVE,60656,   ,Chicago,Illinois
310,SR19-01205452,03/22/19 01:31 PM,5240 W FOSTER AVE<br>  60630,Completed,No Entry,5240 W FOSTER AVE,60630,   ,Chicago,Illinois
311,SR19-01206164,03/22/19 03:12 PM,6710 S NORMAL BLVD<br>  60621,Completed,Processed for Court,6710 S NORMAL BLVD,60621,   ,Chicago,Illinois
312,SR19-01206257,03/22/19 03:25 PM,6447 S WINCHESTER AVE<br>  60636,Completed,No Entry,6447 S WINCHESTER AVE,60636,   ,Chicago,Illinois
313,SR19-01206563,03/22/19 03:55 PM,6534 S STEWART AVE<br>  60621,Completed,No Entry,6534 S STEWART AVE,60621,   ,Chicago,Illinois
314,SR19-01207035,03/22/19 05:13 PM,5133 N NEVA AVE<br>  60656,Completed,No Entry,5133 N NEVA AVE,60656,   ,Chicago,Illinois
315,SR19-01207609,03/22/19 08:09 PM,4918 S VINCENNES AVE<br>  60615,Completed,No Entry,4918 S VINCENNES AVE,60615,   ,Chicago,Illinois
316,SR19-01208125,03/22/19 11:38 PM,6455 N BELL AVE<br>  60645,Completed,No Entry,6455 N BELL AVE,60645,   ,Chicago,Illinois
317,SR19-01208134,03/22/19 11:54 PM,426 S clark ST<br>  60605,Completed,Adequate Temperature,426 S clark ST,60605,   ,Chicago,Illinois
318,SR19-01208397,03/23/19 06:36 AM,5225 W AUGUSTA BLVD<br>  60651,Completed,Processed for Hearing - Standard,5225 W AUGUSTA BLVD,60651,   ,Chicago,Illinois
319,SR19-01209201,03/23/19 11:15 AM,5750 N KENMORE AVE<br>  60660,Completed,Adequate Temperature,5750 N KENMORE AVE,60660,   ,Chicago,Illinois
320,SR19-01210636,03/23/19 08:16 PM,6149 S ARTESIAN AVE<br>  60629,Completed,Adequate Temperature,6149 S ARTESIAN AVE,60629,   ,Chicago,Illinois
321,SR19-01210693,03/23/19 08:37 PM,3807 W POLK ST<br>  60624,Completed,No Entry,3807 W POLK ST,60624,   ,Chicago,Illinois
322,SR19-01211976,03/24/19 10:27 AM,9695 S MERRION AVE<br>  60617,Completed,No Entry,9695 S MERRION AVE,60617,   ,Chicago,Illinois
323,SR19-01212109,03/24/19 11:06 AM,5735 S HOYNE AVE<br>  60636,Completed,Processed for Court,5735 S HOYNE AVE,60636,   ,Chicago,Illinois
324,SR19-01212406,03/24/19 12:39 PM,8008 S MARYLAND AVE<br>  60619,Completed,No Entry,8008 S MARYLAND AVE,60619,   ,Chicago,Illinois
325,SR19-01214550,03/25/19 03:02 AM,1108 W TAYLOR ST<br>  60607,Completed,Adequate Temperature,1108 W TAYLOR ST,60607,   ,Chicago,Illinois
326,SR19-01214595,03/25/19 04:44 AM,5028 W QUINCY ST<br>  60644,Completed,No Entry,5028 W QUINCY ST,60644,   ,Chicago,Illinois
327,SR19-01214888,03/25/19 07:27 AM,4300 W FORD CITY DR<br>  60652,Completed,Processed for Hearing - Standard,4300 W FORD CITY DR,60652,   ,Chicago,Illinois
328,SR19-01214934,03/25/19 07:35 AM,108 W CHICAGO AVE<br>  60654,Completed,No Entry,108 W CHICAGO AVE,60654,   ,Chicago,Illinois
329,SR19-01215024,03/25/19 08:03 AM,851 S RACINE AVE<br>  60607,Completed,No Entry,851 S RACINE AVE,60607,   ,Chicago,Illinois
330,SR19-01215033,03/25/19 08:05 AM,9351 S RACINE AVE<br>  60620,Completed,No Entry,9351 S RACINE AVE,60620,   ,Chicago,Illinois
331,SR19-01215047,03/25/19 08:07 AM,108 W CHICAGO AVE<br>  60654,Completed,,108 W CHICAGO AVE,60654,   ,Chicago,Illinois
332,SR19-01215298,03/25/19 08:43 AM,6220 N CLAREMONT AVE<br>  60659,Completed,No Entry,6220 N CLAREMONT AVE,60659,   ,Chicago,Illinois
